clip_id,provider,accent,tier,domain,duration,wer,drug_mentions,drug_correct,drug_substitution,drug_deletion,doses,dose_correct,dose_value_error,dose_unit_error,dose_missing,negation_cues,negation_preserved,negation_lost
3877fbcf10c4b36fec186c1dcf7316bf,aai,brass,C,clinical,28.406984126984128,0.0,0,0,0,0,0,0,0,0,0,1,1,0
395ab42d7aadfe6bc43ec3db82cc4e69,aai,urhobo,B,clinical,16.608979591836732,0.0,0,0,0,0,0,0,0,0,0,0,0,0
395b59676aa6355fae06bacef67fc140,aai,khana,C,clinical,16.0,0.47368421052631576,0,0,0,0,1,1,0,0,0,0,0,0
399eeb18cb0fb018270ccd9ea1861256,aai,swahili,A,clinical,16.820997732426306,0.0,0,0,0,0,0,0,0,0,0,1,1,0
39bf3e3ee7075614072deb7a5280ab60,aai,igbo,A,clinical,7.531995464852607,0.0,0,0,0,0,0,0,0,0,0,1,1,0
39f4f92aa0052fef3571ca150c2a3722,aai,kinyarwanda,B,clinical,12.308979591836732,0.0,0,0,0,0,0,0,0,0,0,1,1,0
3ac068335822c731d143a71b517e63fc,aai,isizulu,B,general,11.256984126984127,0.47368421052631576,0,0,0,0,0,0,0,0,0,1,1,0
3aec03bca0a2a5e03e719c2075b5ac18,aai,swahili,A,clinical,6.642993197278911,0.0,0,0,0,0,0,0,0,0,0,1,1,0
3b09d44d3e3adce79a0fb0cfe57e793e,aai,yoruba,A,general,15.579,0.12121212121212122,1,1,0,0,0,0,0,0,0,1,1,0
3c5572142e8029ffb07a9bbe17542aed,aai,khana,C,clinical,10.330997732426304,0.42857142857142855,1,1,0,0,0,0,0,0,0,0,0,0
3dfd04ecb574ea226cdc07a88e9b43d7,aai,igbo,A,clinical,5.486984126984127,0.0,2,2,0,0,1,1,0,0,0,0,0,0
3e15362de5160160b9b6dc4a1b7b5173,aai,idah,C,clinical,7.586984126984127,0.09090909090909091,0,0,0,0,1,1,0,0,0,0,0,0
3fd85b94085df416782fb04d0f9da75a,aai,kinyarwanda,B,clinical,12.820997732426305,0.14285714285714285,1,1,0,0,0,0,0,0,0,0,0,0
41300eae9d89c276e32cfe52726db57c,aai,kikuyu,C,clinical,18.035986394557824,0.2631578947368421,0,0,0,0,0,0,0,0,0,1,1,0
417626ea1dc287624ae2085b5e8b80c5,aai,ijaw,A,general,5.825986394557821,0.0,0,0,0,0,0,0,0,0,0,1,1,0
425756185ac6e34dd2742f59bc7381f8,aai,hausa,A,clinical,10.061995464852608,0.0,1,1,0,0,0,0,0,0,0,0,0,0
439ba5f71d1d55733b83ceb7d3eba324,aai,swahili,A,clinical,8.072993197278912,0.0,0,0,0,0,0,0,0,0,0,1,1,0
442ab52663499c4f3917c4842f9c2216,aai,ijaw,A,clinical,6.126984126984127,0.46153846153846156,0,0,0,0,0,0,0,0,0,0,0,0
4452636b3e56b08faeac1310ed0afb45,aai,twi,B,clinical,10.880997732426303,0.17647058823529413,1,1,0,0,0,0,0,0,0,0,0,0
44fce3c7ec19dff506083c8a906750a3,aai,ijaw,A,clinical,22.260997732426304,0.04,1,1,0,0,1,1,0,0,0,0,0,0
4524d44d0b4b586ba5f80bab94a36374,aai,estako,C,clinical,7.1629931972789125,0.3333333333333333,1,1,0,0,1,1,0,0,0,0,0,0
47336a19e6de775ce619938a93f921e7,aai,yoruba,A,clinical,11.292993197278912,0.0,0,0,0,0,0,0,0,0,0,1,1,0
47563df782e059f397a062dc9c49dedc,aai,ebira,B,clinical,10.338979591836734,0.09523809523809523,1,1,0,0,2,2,0,0,0,0,0,0
48806c3ddbaa78bf3c285dcf74f01dec,aai,yoruba,A,general,8.745,0.041666666666666664,0,0,0,0,0,0,0,0,0,2,2,0
49361322979184b1e0b395c76128bed1,aai,igbo,A,clinical,13.388979591836732,0.0,1,1,0,0,0,0,0,0,0,0,0,0
4cb9d90085141545a0df8933010b0ff1,aai,pidgin,B,general,10.16798185941043,0.043478260869565216,0,0,0,0,0,0,0,0,0,1,1,0
4dd5b78a61fa2551f8ec92ce5c9c0de6,aai,kiswahili,B,clinical,10.323990929705216,0.1111111111111111,0,0,0,0,0,0,0,0,0,1,1,0
4e3b6e2d9fcb97c87a269b1e0747e762,aai,swahili,A,general,7.67,0.0,0,0,0,0,2,2,0,0,0,0,0,0
4fa2a11c05bee4cf37121c3977dfe56d,aai,alago,C,general,14.102993197278913,0.09090909090909091,0,0,0,0,0,0,0,0,0,1,1,0
4fece74d74539de7b4257aa93e5a0f18,aai,yoruba,A,clinical,9.123990929705217,0.0,0,0,0,0,0,0,0,0,0,1,1,0
50dda38735c07990362d85bde0133f84,aai,ikulu,C,clinical,4.0,0.0,2,2,0,0,1,1,0,0,0,0,0,0
50fa7685106848e05f28bd76763ee89d,aai,yoruba,A,clinical,3.505986394557824,0.1111111111111111,0,0,0,0,0,0,0,0,0,1,1,0
52335d4132fe4d672c852becea14a77f,aai,edo,C,general,13.382993197278912,0.03333333333333333,0,0,0,0,0,0,0,0,0,2,2,0
52ad387abe4206177fecb12004fc81c5,aai,pidgin,B,clinical,6.537981859410431,0.0,0,0,0,0,1,1,0,0,0,0,0,0
5319903aa7a09544e5f7a2346abe9542,aai,xhosa,B,clinical,4.2589795918367335,0.0,0,0,0,0,0,0,0,0,0,0,0,0
532a2c6223d6cf5a2eef3a35acc106ee,aai,yoruba,A,clinical,4.867981859410431,0.0,0,0,0,0,1,1,0,0,0,1,1,0
5356ac8c588f99c3e1616d39ae13eae0,aai,ogbia,C,clinical,4.0,0.3,0,0,0,0,0,0,0,0,0,1,1,0
55b4d1d5f1a75607db12f6b7710f5fea,aai,ijaw,A,clinical,4.940997732426304,0.125,0,0,0,0,0,0,0,0,0,0,0,0
569b4a3a00c81fbfef713bb2cf298288,aai,delta,C,clinical,16.14,0.03125,0,0,0,0,0,0,0,0,0,1,1,0
5726844dc6ed872cbd29dced93713dd1,aai,igbo,A,clinical,3.796984126984128,0.0,0,0,0,0,1,1,0,0,0,0,0,0
574564fbb39afb8f4bfe475ca1209e9b,aai,twi,B,clinical,4.754988662131519,0.0,1,1,0,0,0,0,0,0,0,0,0,0
58fb549d14b07c3aae8b252439917dce,aai,idoma,B,clinical,5.445986394557823,0.0,0,0,0,0,1,1,0,0,0,0,0,0
59d081768f7130a72f303349f532e0b1,aai,hausa,A,clinical,17.65498866213152,0.029411764705882353,1,1,0,0,1,1,0,0,0,0,0,0
5a34597c9b5e97c136c6b15e1f47350b,aai,luganda,B,clinical,3.173990929705216,0.75,0,0,0,0,0,0,0,0,0,1,1,0
5b5cea61187384389906b36683ffa428,aai,zulu,B,clinical,12.106984126984129,0.17647058823529413,1,0,0,1,0,0,0,0,0,0,0,0
5bf75ed75f6edd7aa81465d27761f147,aai,kinyarwanda,B,clinical,20.275,0.25806451612903225,0,0,0,0,0,0,0,0,0,2,2,0
5c849a9f8db80ed6b81b57ba3d55e07e,aai,xhosa,B,clinical,7.581995464852607,0.125,0,0,0,0,0,0,0,0,0,0,0,0
5dce81d882d87594aaa93edfd369a364,aai,swahili,A,clinical,3.5869841269841274,0.0,0,0,0,0,0,0,0,0,0,1,1,0
5ec5dbfeea5ef5e77ff6cf07c73a49df,aai,ijaw,A,general,7.1379818594104325,0.0,0,0,0,0,0,0,0,0,0,1,1,0
5edf769b6919fac4f5f4ade730fd1bb6,aai,ishan,C,clinical,4.0,0.125,0,0,0,0,1,1,0,0,0,0,0,0
5f123125342c9260ae61b6afc746c116,aai,isizulu,B,clinical,9.402993197278912,0.0,1,1,0,0,0,0,0,0,0,0,0,0
