provider,accent,clips,wer,drug_mentions,drug_accuracy,drug_substitutions,doses,dose_value_accuracy,dose_value_errors,dose_unit_errors,negation_cues,negation_preservation
dg-general,pidgin,7,0.24837023545751885,1,0.0,0,1,0.0,1,0,3,1.0
dg-general,sepedi,1,0.35294117647058826,1,0.0,0,0,,0,0,0,
dg-general,sesotho,1,0.2631578947368421,1,0.0,0,0,,0,0,0,
dg-general,setswana,7,0.2854450871257594,3,0.6666666666666666,0,0,,0,0,2,1.0
dg-general,sotho,1,0.0,0,,0,0,,0,0,1,1.0
dg-general,swahili,26,0.2604995154711314,11,0.8181818181818182,0,5,1.0,0,0,19,0.9473684210526315
dg-general,tshivenda,1,0.14285714285714285,0,,0,0,,0,0,1,1.0
dg-general,tswana,7,0.2510513296227582,0,,0,1,1.0,0,0,0,
dg-general,twi,7,0.406183079292323,2,1.0,0,0,,0,0,4,1.0
dg-general,ukwuani,1,0.5333333333333333,0,,0,1,1.0,0,0,0,
dg-general,urhobo,7,0.3837662337662338,0,,0,1,1.0,0,0,4,1.0
dg-general,xhosa,7,0.3840839715839716,2,0.5,0,0,,0,0,3,1.0
dg-general,yoruba,26,0.39818094604278814,6,0.8333333333333334,0,12,0.75,0,0,19,0.8421052631578947
dg-general,zulu,7,0.25893595194981656,3,0.6666666666666666,0,1,1.0,0,0,3,1.0
dg-medical,afemai,1,0.36,0,,0,1,1.0,0,0,0,
dg-medical,afo,3,0.4884259259259259,1,1.0,0,0,,0,0,1,1.0
dg-medical,afrikaans,2,0.3666666666666667,0,,0,0,,0,0,2,1.0
dg-medical,agatu,2,0.6964285714285714,0,,0,1,0.0,0,0,1,1.0
dg-medical,akan,3,0.2758454106280193,2,0.5,0,0,,0,0,2,1.0
dg-medical,alago,1,0.18181818181818182,0,,0,0,,0,0,1,1.0
dg-medical,anaang,3,0.15128205128205127,2,1.0,0,1,1.0,0,0,3,1.0
dg-medical,angas,3,0.28086419753086417,0,,0,1,1.0,0,0,4,1.0
dg-medical,bagi,2,0.62,1,1.0,0,2,0.5,0,0,0,
dg-medical,bajju,3,0.2108294930875576,0,,0,2,1.0,0,0,1,1.0
dg-medical,bassa,2,0.13657407407407407,4,1.0,0,3,0.6666666666666666,1,0,0,
dg-medical,bekwarra,3,0.3715034965034965,1,1.0,0,0,,0,0,1,1.0
dg-medical,benin,1,1.6,0,,0,0,,0,0,0,
dg-medical,berom,3,0.12807881773399013,0,,0,2,1.0,0,0,1,1.0
dg-medical,bini,3,0.396031746031746,0,,0,2,1.0,0,0,0,
dg-medical,brass,3,0.1615159034513873,1,1.0,0,1,1.0,0,0,1,1.0
dg-medical,delta,3,0.41083333333333333,0,,0,1,0.0,0,0,2,1.0
dg-medical,ebiobo,3,0.2471891534391534,0,,0,0,,0,0,1,1.0
dg-medical,ebira,9,0.31648260441363885,1,1.0,0,7,0.8571428571428571,1,0,2,1.0
dg-medical,edo,1,0.26666666666666666,0,,0,0,,0,0,2,1.0
dg-medical,efik,2,0.9278846153846154,3,0.0,0,4,1.0,0,0,0,
dg-medical,eggon,3,0.43081232492997196,0,,0,1,1.0,0,0,1,1.0
dg-medical,ekene,3,0.38285714285714284,2,1.0,0,2,1.0,0,0,0,
dg-medical,eket,2,0.125,3,1.0,0,1,1.0,0,0,0,
dg-medical,ekpeye,3,0.4794685990338165,0,,0,3,1.0,0,0,2,1.0
dg-medical,eleme,2,0.6136363636363636,2,1.0,0,2,1.0,0,0,0,
dg-medical,english,3,0.2814319336058467,1,1.0,0,0,,0,0,3,1.0
dg-medical,epie,3,0.34165542060278903,1,1.0,0,2,1.0,0,0,1,1.0
dg-medical,esan,6,0.19021762551174315,0,,0,0,,0,0,0,
dg-medical,estako,2,0.4074074074074074,3,1.0,0,3,1.0,0,0,0,
dg-medical,etche,3,0.37777777777777777,1,1.0,0,3,0.3333333333333333,0,1,1,1.0
dg-medical,etsako,2,0.2638888888888889,6,1.0,0,2,1.0,0,0,0,
dg-medical,fulani,3,0.2523809523809524,0,,0,1,1.0,0,0,2,1.0
dg-medical,gbagyi,3,0.43777777777777777,1,1.0,0,3,1.0,0,0,0,
dg-medical,hausa,28,0.32081183133398994,15,0.6666666666666666,0,17,0.5294117647058824,2,1,14,1.0
dg-medical,ibani,3,0.10256410256410257,0,,0,1,1.0,0,0,2,1.0
dg-medical,ibibio,9,0.2391041081365037,2,1.0,0,2,1.0,0,0,6,1.0
dg-medical,idah,2,0.6602870813397129,0,,0,4,0.75,0,0,0,
dg-medical,idoma,9,0.4157396963991925,10,0.8,1,7,0.7142857142857143,1,0,1,1.0
dg-medical,igala,8,0.27644993894993897,1,1.0,0,0,,0,0,1,1.0
dg-medical,igarra,3,0.38200757575757577,1,0.0,0,2,0.5,0,0,1,1.0
dg-medical,igbo,28,0.30411979642415365,9,0.7777777777777778,1,16,0.875,0,0,15,1.0
dg-medical,ijaw,27,0.33919172554004645,3,0.6666666666666666,0,5,1.0,0,0,10,1.0
dg-medical,ika,3,0.41060606060606064,0,,0,2,1.0,0,0,1,1.0
dg-medical,ikulu,2,0.0,2,1.0,0,1,1.0,0,0,1,1.0
dg-medical,ishan,2,0.4375,0,,0,2,1.0,0,0,0,
dg-medical,isixhosa,2,0.1225,2,1.0,0,0,,0,0,1,1.0
dg-medical,isizulu,9,0.39084356189619346,7,0.8571428571428571,0,0,,0,0,3,1.0
dg-medical,isoko,2,0.16666666666666666,1,1.0,0,1,1.0,0,0,0,
dg-medical,itsekiri,2,0.1,1,1.0,0,2,0.5,0,0,0,
dg-medical,izon,2,0.3282967032967033,0,,0,1,1.0,0,0,1,1.0
dg-medical,jaba,2,0.47916666666666663,2,1.0,0,0,,0,0,0,
dg-medical,jukun,2,0.3125,0,,0,0,,0,0,0,
dg-medical,kalabari,2,0.275,2,1.0,0,0,,0,0,2,1.0
dg-medical,kanuri,2,0.23148148148148148,2,1.0,0,2,1.0,0,0,0,
dg-medical,khana,2,0.40601503759398494,1,1.0,0,1,1.0,0,0,0,
dg-medical,kikuyu,2,0.20723684210526316,0,,0,0,,0,0,2,1.0
dg-medical,kinyarwanda,8,0.2898263606517876,3,1.0,0,0,,0,0,5,1.0
dg-medical,kiswahili,6,0.30434472934472934,1,1.0,0,1,1.0,0,0,1,1.0
